,poultry,maize,wheat,grains,beef,cheese,pig,sugar,soya,butter,oils,rice,sheep
HTI_1993_1996,1.18462295724,0.0243282565108,0.0313934083745,0.0090372004605,2.50894720571,4.109774625e-05,2.28546619874,0.0131878786288,1.16215e-08,5.94227e-06,0.0092787661275,0.026922404509,0.795315814288
IDN_1993_1996,3.75519673412,25.5545400999,16.4436342976,0.0453940924399,1.41607480941,0.0283775479822,2.45457678844,4.60673531911e-07,5.87681809311,0.0522000209236,15.2678727735,151.393175617,0.458682554076
IND_1993_1996,0.585596887354,6.60192928282,54.6577486494,19.2225198076,1.51793888306,4.03762359833e-05,0.391042678307,9.46001390934e-08,0.445451941986,1.36249038694,6.60742477076,76.4465752212,0.593283952812
IRN_1993_1996,9.55541149317,0.56150418884,170.026919837,0.441771263249,3.89478607026,3.74587522183,1.17058160989e-06,1.50074567038e-06,0.192289525595,2.08112165628,11.0166375993,32.9665104956,5.7469416704
ISR_1993_1996,40.9146605323,0.00162058448675,0.125176729308,0.00536139557875,12.6566979867,0.0169638692175,1.44962240556,1.71915e-08,1.71915e-08,0.001207385224,0.0186158460115,0.0144529023195,1.30062397908
JPN_1993_1996,12.324797419,16.6583903769,42.3718498116,2.71604330969,8.03876971911,1.47035137456,13.3502619069,19.8186909646,6.96878813832,0.739851898416,16.0106213922,68.2236500676,0.586136169481
KAZ_1993_1996,4.20113461661,5.62153454365e-06,142.033746809,13.9588627727,24.2379193773,1.04277652057,6.89518784947,5.62153460611e-06,0.144852378871,2.55902135695,4.06224162762,9.66555507852,11.7886280386
KOR_1993_1996,8.42028644549,1.48458885945,44.3771668179,5.25635096704,6.10557966954,0.487079810997,14.4243491977,23.7443243093,8.75117291701,0.079661207213,12.3479804938,108.347206648,0.246422918157
MEX_1993_1996,12.1728608834,155.939404144,37.0584590806,5.15804130812,8.97761146752,2.11325580123,7.69115322413,35.8317389331,0.0,0.218039114605,15.5467667552,6.05951103606,0.531661222524
MOZ_1993_1996,1.74759054357,52.2507353817,9.0590022216,12.9564954668,0.673432944787,0.0203620970012,0.600317367924,5.77228244802e-06,5.77228244802e-06,0.072158902096,5.01028975761,8.32894343724,0.998635029339
